Date,Bitcoin My Wallet Number of Users,Bitcoin Market Price USD,Bitcoin USD Exchange Trade Volume,Bitcoin Difficulty,Bitcoin My Wallet Number of Transaction Per Day,Bitcoin My Wallet Transaction Volume,Bitcoin Average Block Size,Bitcoin api.blockchain Size,Bitcoin Miners Revenue,Bitcoin Hash Rate,Bitcoin Estimated Transaction Volume USD,Bitcoin Estimated Transaction Volume,Bitcoin Total Output Volume,Bitcoin Number of Transaction per Block,Bitcoin Number of Transactions Excluding Popular Addresses,Bitcoin Total Number of Transactions,Bitcoin Number of Transactions,Bitcoin Cost Per Transaction,Bitcoin Cost % of Transaction Volume,Total Bitcoins
02-21-21,"68,141,000","56,001","737,451,802","21,724,134,900,047","82,508","15,262",1,"329,032","57,635,435","152,267,677","7,839,947,832","136,890","1,784,572","1,927","267,378","618,213,360","271,645",209,1,"18,635,038"
02-20-21,"68,068,190","55,917","1,203,321,962","21,724,134,900,047","97,891","38,910",1,"328,839","59,691,257","157,667,240","6,995,147,926","124,425","2,195,460","2,195","315,342","617,891,682","320,475",186,1,"18,634,156"
02-19-21,"67,932,753","51,608","665,321,948","21,455,226,865,438","111,571","26,296",1,"328,636","59,244,126","163,181,402","8,975,014,335","167,679","2,365,993","2,233","336,543","617,551,258","341,586",173,1,"18,633,281"
02-18-21,"67,829,927","52,118","1,071,500,775","21,434,395,961,349","106,879","28,368",1,"328,457","53,678,747","145,974,816","8,027,247,242","154,580","2,202,921","2,314","313,073","617,234,210","316,952",164,1,"18,632,406"
02-17-21,"67,721,500","49,160","899,200,171","21,434,395,961,349","113,792","23,861",1,"328,279","51,285,529","147,040,325","7,740,989,999","151,210","2,077,696","2,302","313,722","616,915,144","317,666",161,1,"18,631,519"
02-16-21,"67,653,791","47,952","708,415,697","21,434,395,961,349","99,903","19,763",1,"328,122","42,832,907","128,926,662","6,187,880,486","126,639","2,515,310","2,449","292,705","616,620,556","296,388",145,1,"18,630,644"
02-15-21,"67,568,876","48,720","517,594,005","21,434,395,961,349","99,149","21,634",1,"327,922","51,761,591","160,891,950","5,028,594,621","105,059","2,271,038","2,043","304,662","616,311,324","308,496",166,1,"18,629,769"
02-14-21,"67,436,812","47,185","410,208,224","21,434,395,961,349","92,938","12,970",1,"327,725","50,339,561","158,760,931","3,102,283,703","63,800","1,989,965","2,002","294,651","616,012,831","298,254",169,2,"18,628,888"
02-13-21,"67,338,918","47,471","689,712,445","21,434,395,961,349","104,856","15,477",1,"327,518","53,952,453","167,285,008","3,676,762,390","77,651","1,524,496","2,144","332,944","615,675,745","336,624",158,1,"18,628,013"
02-12-21,"67,237,407","48,013","990,292,287","21,434,395,961,349","111,391","33,022",1,"327,337","53,308,083","151,302,364","7,811,431,840","163,544","2,143,549","2,418","339,751","615,332,616","343,306",153,1,"18,626,913"
02-11-21,"67,161,038","44,878","854,939,012","21,434,395,961,349","108,363","43,470",1,"327,173","47,377,470","137,450,739","6,333,458,805","136,428","2,381,723","2,362","301,258","615,029,311","304,739",152,1,"18,626,019"
02-10-21,"67,085,259","46,590","1,278,680,840","21,434,395,961,349","114,442","40,792",1,"326,989","49,429,153","152,367,873","7,305,646,116","159,372","2,162,722","2,383","336,340","614,687,413","340,758",143,1,"18,625,356"
02-09-21,"66,955,606","46,364","1,848,583,587","21,434,395,961,349","117,138","50,708",1,"326,806","51,636,507","152,367,873","10,834,628,125","232,063","3,400,460","2,518","355,425","614,328,326","360,137",141,0,"18,624,475"
02-08-21,"66,869,436","38,928","507,510,700","21,434,395,961,349","121,836","29,087",1,"326,581","48,670,643","172,612,556","8,364,117,755","197,784","2,263,659","2,069","330,967","613,991,206","335,223",141,1,"18,623,594"
02-07-21,"66,761,528","39,323","815,234,883","21,434,395,961,349","91,030","14,072",1,"326,364","41,085,629","166,219,498","3,515,624,989","90,819","2,048,377","1,836","282,370","613,705,044","286,364",143,1,"18,622,488"
02-06-21,"66,670,038","38,279","464,369,301","21,384,451,039,676","119,299","36,940",1,"326,159","45,346,981","169,021,266","4,577,756,278","115,158","2,156,849","2,100","329,904","613,372,494","333,886",133,1,"18,621,613"
02-05-21,"66,572,792","37,002","833,075,415","20,823,531,150,112","124,231","25,393",1,"325,939","45,671,120","174,939,226","6,157,892,771","163,707","1,959,874","2,133","356,357","613,011,786","360,541",125,1,"18,620,506"
02-04-21,"66,510,090","37,676","704,292,314","20,823,531,150,112","124,731","24,229",1,"325,733","43,879,560","165,622,936","6,269,136,960","166,678","2,181,219","2,299","363,365","612,644,488","367,788",119,1,"18,619,406"
02-03-21,"66,453,529","35,530","598,901,450","20,823,531,150,112","127,616","32,410",1,"325,538","39,131,400","155,271,502","4,985,868,434","136,351","2,065,146","2,296","340,465","612,298,330","344,425",114,1,"18,618,531"
02-02-21,"66,370,326","33,523","555,827,114","20,823,531,150,112","117,226","39,545",1,"325,340","38,671,645","157,341,789","4,346,023,784","125,116","1,924,953","2,398","360,694","611,935,068","364,551",105,1,"18,617,431"
02-01-21,"66,294,460","33,136","358,122,291","20,823,531,150,112","106,485","37,506",1,"325,182","30,096,216","124,217,202","4,586,348,228","136,226","1,926,363","2,341","277,113","611,653,129","280,863",106,1,"18,616,556"
01-31-21,"66,185,633","34,318","559,013,708","20,823,531,150,112","90,086","12,276",1,"324,994","33,412,205","149,060,642","3,119,627,987","94,043","1,991,252","2,019","287,575","611,362,218","290,753",115,1,"18,615,894"
01-30-21,"66,122,422","34,314","2,130,003,473","20,823,531,150,112","93,976","34,375",1,"324,817","33,651,947","140,779,495","3,416,568,799","100,246","1,957,193","2,296","309,300","611,051,246","312,313",108,1,"18,615,019"
01-29-21,"66,028,048","33,403","1,030,518,859","20,823,531,150,112","123,827","43,477",1,"324,617","39,455,374","157,341,789","8,288,844,085","234,227","2,493,283","2,244","337,132","610,710,114","341,036",116,0,"18,614,144"
01-28-21,"65,949,468","30,419","1,231,838,586","20,823,531,150,112","123,829","36,912",1,"324,426","32,031,716","150,095,785","4,988,231,553","156,962","2,181,658","2,242","320,765","610,385,526","325,146",97,1,"18,613,044"
01-27-21,"65,864,603","32,542","782,611,741","20,823,531,150,112","115,356","31,579",1,"324,244","30,148,574","146,990,355","5,425,004,804","174,922","1,995,359","2,279","320,074","610,060,755","323,553",93,1,"18,612,169"
01-26-21,"65,778,347","32,243","724,029,497","20,823,531,150,112","114,669","22,613",1,"324,025","35,209,828","166,658,079","4,228,927,064","132,374","1,703,884","2,093","332,912","609,724,325","336,935",103,1,"18,611,294"
01-25-21,"65,709,099","32,277","362,355,621","20,823,531,150,112","111,660","28,593",1,"323,831","33,137,294","144,920,069","3,905,630,183","116,295","2,313,553","2,208","305,567","609,414,229","309,102",105,1,"18,610,413"
01-24-21,"65,614,420","32,100","414,697,183","20,823,531,150,112","85,583","30,196",1,"323,649","30,284,997","143,884,925","1,966,307,039","61,032","1,515,699","1,827","251,105","609,159,533","253,971",118,2,"18,609,531"
01-23-21,"65,538,976","33,002","1,271,924,926","20,737,086,011,822","100,587","20,808",1,"323,450","33,751,645","159,781,151","2,103,201,286","64,942","1,529,580","1,969","302,142","608,856,456","305,209",111,2,"18,608,650"
01-22-21,"65,440,298","30,798","1,473,827,004","20,607,418,304,386","116,022","44,013",1,"323,268","31,865,792","145,464,845","5,354,605,408","169,003","2,107,825","2,302","322,598","608,528,316","326,935",97,1,"18,607,556"
01-21-21,"65,374,335","35,539","913,461,957","20,607,418,304,386","106,463","45,584",1,"323,098","30,287,475","132,147,641","4,661,464,273","143,478","2,210,014","2,254","287,117","608,238,505","290,754",104,1,"18,606,681"
01-20-21,"65,289,426","36,020","579,558,849","20,607,418,304,386","115,047","23,509",1,"322,918","34,297,106","144,440,445","5,094,690,668","145,190","2,021,208","2,233","310,901","607,923,111","314,809",109,1,"18,605,806"
01-19-21,"65,174,449","36,632","590,495,166","20,607,418,304,386","117,294","29,753",1,"322,728","38,439,879","152,635,648","7,509,307,340","203,229","2,111,753","2,182","321,446","607,597,959","325,083",117,1,"18,604,925"
01-18-21,"65,098,378","35,793","650,030,054","20,607,418,304,386","109,912","32,026",1,"322,533","36,250,412","148,538,046","3,849,376,580","106,369","1,788,905","2,164","310,233","607,284,053","313,816",114,1,"18,604,050"
01-17-21,"64,984,596","36,065","685,084,802","20,607,418,304,386","85,820","20,310",1,"322,357","31,937,014","136,245,243","2,561,329,125","71,913","1,426,059","2,044","268,623","607,012,869","271,874",117,1,"18,603,169"
01-16-21,"64,923,857","36,829","1,194,986,405","20,607,418,304,386","109,736","25,105",1,"322,163","38,126,680","150,586,847","2,570,302,175","69,617","1,699,037","2,098","304,753","606,704,771","308,461",122,1,"18,602,288"
01-15-21,"64,836,331","39,158","988,940,894","20,607,418,304,386","115,433","34,281",1,"321,959","41,733,818","158,782,050","6,530,346,132","173,448","1,735,779","2,219","340,326","606,359,799","344,002",121,1,"18,601,406"
01-14-21,"64,763,419","37,393","1,209,077,692","20,607,418,304,386","125,848","38,718",1,"321,768","42,518,141","150,586,847","8,352,711,917","217,047","1,934,961","2,305","334,885","606,020,714","338,809",121,1,"18,600,531"
01-13-21,"64,695,348","34,012","1,344,114,135","20,607,418,304,386","121,259","40,239",1,"321,576","37,493,720","155,708,849","5,277,220,347","152,693","1,781,869","2,100","315,524","605,701,559","319,167",117,1,"18,599,644"
01-12-21,"64,594,938","35,545","3,039,065,356","20,607,418,304,386","108,276","30,781",1,"321,380","38,534,704","151,611,247","7,357,383,073","209,957","2,210,729","2,275","332,587","605,365,473","336,627",113,1,"18,598,550"
01-11-21,"64,524,611","38,240","1,415,450,813","20,607,418,304,386","119,207","35,252",1,"321,174","37,697,672","157,757,649","6,926,936,906","204,128","2,438,668","2,169","329,587","605,031,340","333,958",113,1,"18,597,669"
01-10-21,"64,407,604","40,241","711,474,843","20,607,418,304,386","105,396","23,683",1,"320,970","43,171,348","162,879,651","4,278,195,465","108,187","1,802,561","2,087","327,988","604,699,941","331,865",130,1,"18,596,794"
01-09-21,"64,336,534","40,670","1,794,260,807","19,365,166,707,095","114,486","52,776",1,"320,795","40,693,122","133,808,025","5,814,286,455","144,079","1,924,129","2,312","318,018","604,378,746","321,389",123,1,"18,595,694"
01-08-21,"64,235,131","39,486","1,836,614,179","18,599,593,048,299","131,318","60,185",1,"320,603","42,358,095","136,839,436","8,838,843,563","222,609","2,518,905","2,422","354,565","604,020,433","358,526",118,0,"18,594,813"
01-07-21,"64,152,631","36,860","1,414,154,053","18,599,593,048,299","144,971","83,286",1,"320,390","45,226,287","155,331,252","9,896,769,613","258,243","2,751,162","2,391","397,456","603,618,745","401,744",112,0,"18,593,938"
01-06-21,"64,020,580","34,047","1,026,923,832","18,599,593,048,299","139,896","65,238",1,"320,161","43,004,565","163,652,569","7,549,976,673","217,195","2,131,443","2,245","393,193","603,220,075","397,384",108,1,"18,592,838"
01-05-21,"63,953,197","32,035","1,432,013,253","18,599,593,048,299","126,610","70,852",1,"319,958","35,314,776","145,160,753","6,775,407,806","209,211","2,209,914","2,255","349,895","602,865,747","354,091",100,1,"18,591,744"
01-04-21,"63,842,886","33,001","975,831,415","18,599,593,048,299","121,481","39,247",1,"319,730","39,752,809","159,954,206","7,503,147,813","234,965","1,922,522","2,160","368,932","602,493,027","373,734",104,1,"18,590,869"
01-03-21,"63,721,612","32,195","1,393,906,626","18,599,593,048,299","108,206","26,720",1,"319,526","35,922,359","146,085,344","5,847,742,860","175,403","2,211,805","2,273","355,123","602,133,929","359,116",100,1,"18,589,756"
01-02-21,"63,639,909","29,394","491,258,038","18,599,593,048,299","108,080","35,944",1,"319,316","31,908,500","139,613,209","6,152,237,015","197,649","2,164,453","1,968","293,409","601,835,959","297,111",107,1,"18,588,663"
01-01-21,"63,530,742","28,983","606,524,119","18,599,593,048,299","89,018","29,742",1,"319,114","29,068,047","137,764,027","4,343,208,402","148,420","1,603,396","1,732","255,086","601,577,750","258,080",112,1,"18,587,775"
12-31-20,"63,457,366","28,857","751,041,811","18,599,593,048,299","121,367","53,233",1,"318,902","33,284,139","153,482,070","5,636,631,338","195,528","1,945,437","2,078","341,206","601,234,597","344,918",96,1,"18,586,900"
12-30-20,"63,407,664","27,376","584,575,020","18,599,593,048,299","128,884","41,082",1,"318,686","33,896,444","159,029,615","5,840,540,995","207,164","1,743,501","1,967","334,365","600,894,553","338,258",99,1,"18,585,806"
12-29-20,"63,288,279","27,037","511,058,870","18,599,593,048,299","115,581","50,951",1,"318,492","28,221,057","140,537,799","5,504,342,175","205,702","1,845,947","2,213","332,853","600,559,694","336,311",84,1,"18,584,700"
12-28-20,"63,199,039","26,247","822,241,572","18,600,034,145,237","110,939","43,692",1,"318,284","29,968,235","147,938,034","8,026,930,077","297,406","1,980,852","1,931","305,483","600,249,266","308,983",96,0,"18,583,819"
12-27-20,"63,057,974","26,443","530,655,727","18,670,168,558,400","98,352","30,857",1,"318,091","27,533,620","137,358,669","4,714,768,343","173,300","2,514,615","2,088","305,121","599,940,609","309,005",89,1,"18,582,725"
12-26-20,"62,962,878","24,694","375,518,728","18,670,168,558,400","102,719","27,614",1,"317,902","23,722,328","127,149,578","2,615,234,143","102,904","2,013,537","2,000","271,125","599,667,152","273,954",86,1,"18,581,850"
12-25-20,"62,839,076","23,716","344,759,537","18,670,168,558,400","97,145","21,761",1,"317,716","23,792,133","133,646,272","2,352,003,685","98,033","2,043,475","2,110","300,533","599,363,465","303,901",78,1,"18,580,969"
12-24-20,"62,753,715","23,253","583,254,746","18,670,168,558,400","113,743","36,988",1,"317,556","20,751,170","116,940,488","4,019,021,845","172,668","2,115,162","2,139","266,122","599,094,619","269,559",77,1,"18,580,094"
12-23-20,"62,651,498","23,825","433,884,279","18,670,168,558,400","120,423","40,138",1,"317,364","26,038,110","142,927,263","6,427,851,084","273,160","2,006,004","2,198","333,346","598,754,278","338,463",77,0,"18,579,219"
12-22-20,"62,537,750","22,745","647,260,163","18,670,168,558,400","121,744","47,908",1,"317,178","23,995,220","132,718,173","6,418,279,943","277,726","2,040,795","2,267","321,256","598,431,201","324,163",73,0,"18,578,344"
12-21-20,"62,445,179","23,491","301,633,611","18,670,168,558,400","104,545","43,790",1,"316,995","23,298,121","126,221,479","3,918,912,339","169,206","1,743,578","1,984","267,276","598,161,238","269,834",86,1,"18,577,463"
12-20-20,"62,318,287","23,870","428,547,893","18,670,168,558,400","95,420","24,775",1,"316,793","24,027,163","140,142,966","2,436,345,571","103,361","1,323,040","1,868","279,250","597,879,066","282,043",85,1,"18,576,581"
12-19-20,"62,245,572","23,151","465,956,413","18,670,168,558,400","113,446","54,046",1,"316,593","25,884,376","146,639,660","2,768,897,617","118,538","1,665,126","2,174","340,276","597,536,312","343,536",75,1,"18,575,706"
12-18-20,"62,134,202","22,847","1,177,690,832","18,670,168,558,400","114,560","78,376",1,"316,393","27,241,478","145,711,561","6,176,614,858","269,862","2,435,931","2,392","371,342","597,160,565","375,549",71,0,"18,574,606"
12-17-20,"62,007,604","21,379","712,598,806","18,670,168,558,400","133,931","66,148",1,"316,225","22,338,873","119,724,786","5,540,206,537","245,027","2,503,112","2,399","306,106","596,850,993","309,481",71,0,"18,573,731"
12-16-20,"61,909,985","19,440","288,887,515","18,670,168,558,400","133,763","43,474",1,"316,038","19,816,347","132,718,173","4,228,699,632","209,514","2,709,598","2,204","311,825","596,535,607","315,217",62,0,"18,572,844"
12-15-20,"61,786,133","19,277","156,397,143","18,670,168,558,400","124,119","54,728",1,"315,857","18,584,576","129,933,876","3,108,771,397","160,706","2,160,315","2,289","317,256","596,214,244","320,440",57,1,"18,571,969"
12-14-20,"61,690,250","19,164","197,236,995","18,670,168,558,400","115,865","47,487",1,"315,687","18,516,459","134,574,371","2,685,900,126","140,040","2,076,030","2,168","311,293","595,900,576","314,350",59,1,"18,571,088"
12-13-20,"61,565,218","18,803","175,018,095","19,144,667,899,933","94,223","21,586",1,"315,504","19,661,608","148,463,110","3,450,322,095","178,998","1,658,116","1,770","273,482","595,625,116","276,160",71,1,"18,570,213"
12-12-20,"61,497,483","18,029","291,983,141","19,157,154,724,710","104,072","24,138",1,"315,333","16,396,977","125,704,567","1,929,697,457","104,784","1,419,960","2,238","292,647","595,329,667","295,410",55,1,"18,569,331"
12-11-20,"61,353,878","18,248","264,270,265","19,157,154,724,710","116,918","29,223",1,"315,150","16,978,667","131,418,411","2,913,875,515","162,206","1,421,781","2,208","301,645","595,023,871","304,735",55,1,"18,568,444"
12-10-20,"61,263,225","18,554","377,966,775","19,157,154,724,710","120,437","42,678",1,"314,980","16,448,919","123,799,952","3,877,167,092","211,694","1,965,928","2,413","310,120","594,710,187","313,649",51,0,"18,567,569"
12-09-20,"61,173,163","18,319","273,878,281","19,157,154,724,710","119,860","36,633",1,"314,802","17,187,412","132,370,718","2,599,989,621","142,289","1,967,187","2,310","317,480","594,389,579","321,079",54,1,"18,566,688"
12-08-20,"61,016,753","19,181","176,619,930","19,157,154,724,710","117,329","32,751",1,"314,617","18,941,289","137,132,255","3,771,844,232","199,640","1,619,021","2,298","327,753","594,058,381","330,970",56,1,"18,565,813"
12-07-20,"60,951,761","19,378","119,935,507","19,157,154,724,710","114,431","48,324",1,"314,437","19,343,628","142,846,099","2,103,990,332","109,478","1,554,179","2,006","297,736","593,756,893","300,906",64,1,"18,564,925"
12-06-20,"60,858,512","19,155","114,151,707","19,157,154,724,710","114,431","48,324",1,"314,254","17,217,877","129,513,796","1,002,450,425","52,343","1,332,342","1,902","256,105","593,499,022","258,624",67,2,"18,564,050"
12-05-20,"60,776,188","18,670","278,793,731","19,157,154,724,710","103,024","24,526",1,"314,060","18,632,288","137,132,255","1,245,963,842","65,726","1,525,130","1,962","279,786","593,216,125","282,599",66,1,"18,563,175"
12-04-20,"60,674,403","19,455","269,817,739","19,157,154,724,710","103,024","24,526",1,"313,870","19,296,508","137,132,255","3,109,317,273","162,657","1,904,553","2,215","315,514","592,897,766","318,894",61,1,"18,562,294"
12-03-20,"60,610,991","19,227","311,500,179","19,157,154,724,710","121,938","45,351",1,"313,664","21,762,339","149,512,250","2,744,199,631","141,982","1,522,634","2,210","343,417","592,551,402","346,921",63,1,"18,561,419"
12-02-20,"60,541,444","18,793","586,228,903","19,157,154,724,710","122,832","41,913",1,"313,500","18,291,020","124,752,260","2,983,704,874","157,633","1,676,105","2,496","323,679","592,224,018","327,019",55,1,"18,560,325"
12-01-20,"60,437,999","19,710","570,429,939","19,157,154,724,710","122,494","75,284",1,"313,305","21,143,567","144,750,714","4,627,255,394","239,399","2,099,814","2,487","374,601","591,845,265","378,068",56,0,"18,559,663"
11-30-20,"60,357,819","18,192","192,293,944","19,157,154,724,710","123,280","71,274",1,"313,157","14,684,437","107,610,728","3,302,208,582","174,045","2,254,250","2,270","253,811","591,587,779","256,551",57,0,"18,558,569"
11-29-20,"60,200,572","17,732","203,020,072","18,158,528,379,021","89,084","21,184",1,"312,991","18,023,228","135,399,801","1,353,406,965","75,274","1,275,997","1,757","261,000","591,325,128","263,573",67,1,"18,557,913"
11-28-20,"60,131,510","17,139","334,361,872","17,596,801,059,571","102,605","27,987",1,"312,788","17,630,657","134,710,226","1,310,741,286","75,790","1,297,739","1,909","290,882","591,031,841","293,949",60,1,"18,557,025"
11-27-20,"59,998,550","17,151","867,494,794","17,596,801,059,571","111,482","44,316",1,"312,590","17,988,302","134,710,226","3,539,855,460","209,319","1,857,757","2,094","318,644","590,709,538","322,445",55,1,"18,555,931"
11-26-20,"59,901,855","18,740","357,330,319","17,596,801,059,571","114,006","45,126",1,"312,395","18,340,062","131,211,259","3,560,329,146","205,208","2,284,232","2,160","320,210","590,384,379","323,975",56,1,"18,555,050"
11-25-20,"59,765,575","19,173","523,228,041","17,596,801,059,571","126,066","66,504",1,"312,204","20,363,513","135,584,967","3,581,534,996","187,609","2,212,825","2,335","358,372","590,022,426","361,990",56,1,"18,554,169"
11-24-20,"59,574,299","18,399","344,268,445","17,596,801,059,571","125,517","59,176",1,"312,031","17,683,649","118,964,875","4,162,955,938","219,740","2,346,578","2,451","329,673","589,690,344","333,293",53,0,"18,553,075"
11-23-20,"59,397,705","18,422","276,025,443","17,596,801,059,571","114,965","53,871",1,"311,850","18,011,288","128,587,034","2,703,213,541","146,337","2,246,648","2,026","294,575","589,392,628","297,840",60,1,"18,552,419"
11-22-20,"59,214,641","18,700","256,287,554","17,596,801,059,571","87,639","25,257",1,"311,688","20,906,346","152,205,060","1,454,587,917","78,964","1,908,303","1,558","268,226","589,120,273","271,125",77,1,"18,551,325"
11-21-20,"59,093,963","18,687","374,130,037","17,596,801,059,571","108,439","38,484",1,"311,494","20,655,876","147,831,352","2,261,632,555","120,634","1,907,161","1,841","308,254","588,809,079","311,189",66,1,"18,550,225"
11-20-20,"58,973,416","17,821","358,043,942","17,596,801,059,571","126,727","58,753",1,"311,278","20,641,619","146,956,610","4,202,034,217","227,786","2,460,006","2,072","344,738","588,462,172","348,026",59,0,"18,549,350"
11-19-20,"58,734,308","17,798","633,847,835","17,596,801,059,571","121,142","32,229",1,"311,096","16,988,027","119,839,616","2,649,430,668","148,181","2,378,460","2,271","307,840","588,151,224","311,061",55,1,"18,548,256"
11-18-20,"58,593,733","17,680","424,743,958","17,596,801,059,571","131,185","64,181",1,"310,883","21,194,109","147,831,352","4,148,880,836","231,376","2,930,159","2,142","358,439","587,788,639","362,007",57,1,"18,547,375"
11-17-20,"58,417,749","16,725","293,272,996","17,596,801,059,571","126,054","48,010",1,"310,682","18,324,640","137,334,451","3,117,390,382","181,282","3,030,812","2,215","344,749","587,441,468","347,772",53,1,"18,546,275"
11-16-20,"58,287,313","15,968","97,292,562","17,040,598,812,945","116,438","37,418",1,"310,488","17,711,415","135,534,842","2,343,880,258","142,733","3,618,304","1,947","308,627","587,129,507","311,477",57,1,"18,545,400"
11-15-20,"58,147,334","16,091","163,501,040","16,787,779,609,933","82,855","22,823",1,"310,307","15,662,707","125,178,758","795,037,576","49,738","1,598,946","1,685","250,116","586,876,471","252,715",62,2,"18,544,306"
11-14-20,"57,904,263","16,339","264,263,990","16,787,779,609,933","97,422","29,725",1,"310,124","15,597,258","118,502,557","1,356,685,553","84,584","1,902,619","1,926","271,239","586,602,857","273,511",56,1,"18,543,431"
11-13-20,"57,646,148","16,296","478,495,947","16,787,779,609,933","115,627","47,367",1,"309,947","16,032,046","115,998,982","2,656,697,442","163,123","1,578,705","2,159","296,824","586,302,545","300,040",53,1,"18,542,544"
11-12-20,"57,461,403","15,709","298,105,722","16,787,779,609,933","119,821","46,148",1,"309,747","17,804,676","133,524,008","3,262,813,497","204,680","1,961,289","2,030","321,579","585,977,687","324,855",54,1,"18,541,663"
11-11-20,"57,265,035","15,317","230,269,180","16,787,779,609,933","118,087","36,846",1,"309,556","16,020,485","122,675,182","2,715,135,370","174,110","2,063,546","2,192","318,690","585,654,863","322,277",50,1,"18,540,563"
11-10-20,"57,020,742","15,329","392,305,674","16,787,779,609,933","110,744","44,718",1,"309,376","16,459,647","122,675,182","2,632,911,828","171,897","2,160,266","2,063","300,295","585,352,179","303,270",54,1,"18,539,688"
11-09-20,"56,822,220","15,491","168,415,197","16,787,779,609,933","108,748","39,214",1,"309,122","20,216,887","154,387,134","2,728,063,356","177,538","2,143,909","1,764","323,412","585,026,483","326,383",61,1,"18,538,813"
11-08-20,"56,596,388","14,840","320,513,832","16,787,779,609,933","81,271","26,346",1,"308,933","15,148,276","115,164,457","1,123,463,511","73,988","1,499,232","1,761","240,422","584,782,652","243,047",60,1,"18,537,713"
11-07-20,"56,294,172","15,596","418,654,253","16,787,779,609,933","96,857","33,923",1,"308,735","16,132,959","121,840,657","1,502,513,709","97,493","1,612,473","1,855","267,922","584,511,895","270,901",60,1,"18,536,825"
11-06-20,"56,087,261","15,591","575,483,038","16,787,779,609,933","116,624","47,578",1,"308,540","18,889,243","127,682,333","3,527,917,034","226,072","3,089,434","2,225","336,852","584,172,804","340,351",55,1,"18,535,950"
11-05-20,"55,991,743","14,156","303,936,796","16,787,779,609,933","117,033","63,573",1,"308,352","20,893,224","122,675,182","5,149,644,713","348,419","3,125,865","2,168","315,031","583,853,714","318,668",58,0,"18,534,850"
11-04-20,"55,856,860","14,023","213,888,432","16,787,779,609,933","111,706","39,993",1,"308,138","16,641,138","132,689,483","1,988,917,620","143,258","2,044,402","2,017","317,320","583,532,417","320,697",52,1,"18,533,944"
11-03-20,"55,795,796","13,575","202,098,850","17,865,273,539,020","104,862","42,710",1,"307,959","15,826,226","124,332,259","3,811,487,631","279,668","3,210,188","2,369","328,189","583,201,079","331,673",48,0,"18,533,069"
11-02-20,"55,753,388","13,759","81,876,481","19,997,335,994,446","92,075","47,026",1,"307,833","10,902,576","94,436,932","1,715,336,328","126,516","2,566,364","2,364","221,352","582,975,972","224,609",49,1,"18,532,194"
11-01-20,"55,723,813","13,810","194,274,881","19,997,335,994,446","82,876","26,071",1,"307,677","13,377,441","124,259,121","1,188,080,330","86,295","2,135,584","2,210","273,198","582,699,549","276,280",48,1,"18,531,538"
